Sequence ID,Wormbase ID,Category 1,Category 2,Category 3,Description
Y44E3B.2,WBGene00021553,Neuronal function,Neuronal function: synaptic function,Neuronal function: synaptic function: neurotransmitter metabolism,"tyr-5 is an ortholog of human TYR (tyrosinase), TYRP1 (tyrosinase related protein 1) and DCT (dopachrome tautomerase); microarray and RNA sequencing studies indicate that tyr-5 is affected by cyc-1, blmp-1, clk-1, set-2, wdr-5.1, hsf-1, dpy-21, daf-12, daf-16, sir-2.1, ain-2, and tdp-1; microarray studies indicate that tyr-5 is affected by Methylmercuric chloride, Atrazine, Colistin, adsorbable organic bromine compounds, and Ag nanoparticles; tiling array, RNA sequencing, and microarray studies indicate that tyr-5 is enriched in the excretory cell, male, and male-specific tissues and in the dopaminergic neurons."
T28F2.4,WBGene00020902,Transcription: chromatin,Transcription: chromatin modfication,Transcription: chromatin modfication: demethylase,"jmjc-1 is an ortholog of human C14orf169 (chromosome 14 open reading frame 169); RNA sequencing and microarray studies indicate that jmjc-1 is affected by Zidovudine, Atrazine, Cry5B, Chlorpyrifos, Diazinon, Quercetin, and Dafa#1; proteomic, microarray, tiling array, and RNA sequencing studies indicate that jmjc-1 is enriched in the germ line, intestine, and muscle cell and in the PVD and OLL neurons."
D1037.3,WBGene00001501,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: other,"ftn-2 encodes one of two C. elegans ferritin heavy chain homologs; loss of ftn-2 activity via deletion mutation results in slightly lower brood sizes and, under iron stress conditions, slightly faster growth from the L4 to adult stage of development, and slightly reduced lifespan; an ftn-2::gfp reporter fusion is expressed in diverse tissues, including the pharynx, intestine, and hypodermis, and its expression, along with that of ftn-2 mRNA, does not appear to change significantly under iron stress conditions."
D1037.5,WBGene00017026,Signaling,Signaling: lipid,Signaling: lipid: phospholipase A,ipla-4 encodes a phospholipase A2.
T12F5.4,WBGene00003040,Transcription: chromatin,Transcription: chromatin modfication,Transcription: chromatin modfication: methyltransferase,"lin-59 encodes a SET domain-containing protein that is most closely related to the ASH1 group of histone-lysine N-methyltransferases; lin-59 was originally identified in screens for mutations that disrupt male tail development and subsequently was shown to be an essential gene required for development and fate specification of a number of different cells types, including those of the male tail, male and hermaphrodite hindgut, and egg-laying system; lin-59 has been shown to positively regulate expression of at least four genes: cdh-3, egl-5, mab-5, and nac-2; a lin-59::gfp reporter fusion is first expressed during the proliferative stage of embryonic development and expression continues, in most cells, throughout larval development and adulthood."
F53F10.2,WBGene00018764,Metabolism,Metabolism: polyamine,Metabolism: polyamine,"F53F10.2 is an ortholog of human AZIN1 (antizyme inhibitor 1), Odc1 (ornithine decarboxylase 1) and AZIN2 (antizyme inhibitor 2); F53F10.2 is predicted to have catalytic activity, based on protein domain information."
T03F1.3,WBGene00020185,Metabolism,Metabolism: lipid,Metabolism: lipid: phospholipid,"pgk-1 encodes a protein that is orthologous to human PHOSPHOGLYCERETE KINASE 1 (PGK1; OMIM:311800), which when mutated leads to hemolytic anemia and neurologic disturbances."
T03F1.8,WBGene00020190,Signaling,Signaling: heteromeric G protein,Signaling: heteromeric G protein: guanylyl cyclase,"guk-1 is an ortholog of human GUK1 (guanylate kinase 1); guk-1 is predicted to have guanylate kinase activity, based on protein domain information; guk-1 is expressed in the anchor cell."
F28H1.3,WBGene00000197,Non-translated RNA,Non-translated RNA: tRNA,Non-translated RNA: tRNA: production,"aars-2 encodes a predicted cytoplasmic alanyl-tRNA synthetase (AlaRS), a class II aminoacyl-tRNA synthetase that catalyzes the attachment of alanine to its cognate tRNA and is thus required for protein biosynthesis; AARS-2 is essential for embryogenesis, and is required for fertility and a normal rate of postembryonic development; AARS-2 expression is likely ubiquitous and detected in hypodermis, intestine, neurons, and the pharynx from late embryogenesis through the adult stage of development."
R12E2.11,WBGene00020036,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,"R12E2.11 is an ortholog of human UMPS (uridine monophosphate synthetase); R12E2.11 is involved in UMP biosynthetic process; R12E2.11 is predicted to have orotate phosphoribosyltransferase activity, based on protein domain information; R12E2.11 is expressed in the spermatheca, intestine, body wall musculature, and the vulval muscle."
C43E11.3,WBGene00016603,Transcription: chromatin,Transcription: chromatin modfication,Transcription: chromatin modfication: methyltransferase,"met-1 encodes a histone methyltransferase whose SET domain is similar to that of Saccharomyces cerevisiae Set2p; loss of met-1 activity in the background of a mutant class A synMuv gene, such as lin-15A, results in a multivulval phenotype, indicating that met-1 acts to negatively regulate vulval cell fate specification; as met-1 is required for normal levels of histone H3K36 and H3K9 trimethylation and met-1;lin-15A animals show an increase in lin-3 EGF expression, met-1 likely acts as part of a transcriptional repressor complex that negatively regulates lin-3 EGF transcription to restrict vulval development to three of the six cells in the vulval equivalence group; in addition, genetic studies indicate that met-1 likely acts redundantly with met-2 to inhibit vulval cell fates."
T01A4.1,WBGene00020131,Signaling,Signaling: heteromeric G protein,Signaling: heteromeric G protein: guanylyl cyclase,"gcy-28 encodes a membrane-bound guanylyl cyclase with an extracellular ligand binding domain, a transmembrane domain, and a guanylyl cyclase domain; GCY-28 regulates odor preferences in AWC sensory neurons; gcy-28 regulates the sensory integration in the nervous system and that function of gcy-28 at adulthood is sufficient for normal sensory integration; GCY-28 in AIA interneurons is important for sensory integration; gcy-28 and cng-1 operate in the same genetic pathway to regulate sensory integration; GCY-28 and SCD-2 function in distinct pathways; gcy-28.c isoform is expressed in many neurons and gcy-28.d isoform is expressed specifically in a pair of interneurons, AIA."
C44E4.3,WBGene00016652,Metabolism,Metabolism: amino acid,Metabolism: amino acid: breakdown,"got-2.1 is an ortholog of human Got2 (glutamic-oxaloacetic transaminase 2); got-2.1 is predicted to have pyridoxal phosphate binding activity and transaminase activity, based on protein domain information."
B0041.6,WBGene00015010,Metabolism,Metabolism: other,Metabolism: other,"ptps-1 is an ortholog of human PTS (6-pyruvoyltetrahydropterin synthase); ptps-1 is involved in tetrahydrobiopterin biosynthetic process; ptps-1 exhibits 6-pyruvoyltetrahydropterin synthase activity and identical protein binding activity; ptps-1 is expressed in all ventral cord neurons, certain motor neurons, hypodermis, intestine, tail neurons, and the serotonergic neurons."
W09C3.4,WBGene00021112,Unknown,Unknown: Stress response: regulated by multiple stresses,Unknown: Stress response: regulated by multiple stresses,"W09C3.4 is an ortholog of human POLR3F (RNA polymerase III subunit F); microarray studies indicate that W09C3.4 is affected by Cry5B and Paraquat; tiling array and RNA sequencing studies indicate that W09C3.4 is enriched in the germline precursor cell, intestine, and germ line."
C10H11.3,WBGene00015692,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"ugt-25 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); ugt-25 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information."
C10H11.5,WBGene00015694,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"ugt-27 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); ugt-27 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information."
C10H11.6,WBGene00015695,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"ugt-26 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); ugt-26 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information."
F54D7.2,WBGene00018797,Metabolism,Metabolism: lipid,Metabolism: lipid: phospholipid,"F54D7.2 is an ortholog of human EPT1; F54D7.2 is predicted to have phosphotransferase activity, for other substituted phosphate groups, based on protein domain information; F54D7.2 is expressed in the pharynx, nervous system, reproductive system, intestine, and the body wall musculature."
F57C9.1,WBGene00019008,Metabolism,Metabolism: B6,Metabolism: B6,"pdxk-1 is an ortholog of human Pdxk (pyridoxal (pyridoxine, vitamin B6) kinase); pdxk-1 is predicted to have pyridoxal kinase activity, based on protein domain information."
F21F3.3,WBGene00017673,Protein modification,Protein modification: methyltransferase,Protein modification: methyltransferase,"icmt-1 is an ortholog of human ICMT (isoprenylcysteine carboxyl methyltransferase); icmt-1 is predicted to have protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity, based on protein domain information."
W03G9.6,WBGene00003906,Cytoskeleton,Cytoskeleton: other,Cytoskeleton: other,paf-1 encodes one of two C. elegans homologs of mammalian Type II platelet-activating factor-acetylhydrolase (PAF-AH).
F54C1.1,WBGene00018789,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"F54C1.1 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information."
C46H11.4,WBGene00002979,Signaling,Signaling: lipid,Signaling: lipid: kinase inositol,"lfe-2 encodes an inositol (1,4,5) triphosphate-3-kinase (IP3K); lfe-2 activity is required for normal levels of hermaphrodite fertility and for tissue-specific negative regulation of the LET-23 signaling pathway that controls spermathecal dilation and ovulation; in vitro, LFE-2 can exhibit catalytic activity, converting IP3 to IP4; an lfe-2::GFP transcriptional fusion is expressed in the adult spermatheca and in the pharynx and gut throughout larval and adult stages; misexpression of LFE-2 in gravid adults via heat shock results in ovulation defects, consistent with a role for LFE-2 in regulating this process."
C32E12.2,WBGene00016328,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,"pde-5 is an ortholog of human PDE10A (phosphodiesterase 10A); pde-5 is involved in microvillus organization; pde-5 is predicted to have 3',5'-cyclic-GMP phosphodiesterase activity, based on sequence information; pde-5 is expressed in certain amphid neurons."
C01G8.3,WBGene00000965,Metabolism,Metabolism: short chain dehydrogenase,Metabolism: short chain dehydrogenase,"dhs-1 is an ortholog of human RDH14 (retinol dehydrogenase 14 (all-trans/9-cis/11-cis)); microarray, proteomic, and RNA sequencing studies indicate that dhs-1 is affected by cyc-1, cid-1, gld-1, let-7, tatn-1, mir-34, pgl-1, pgl-3, glh-4, glh-1, emb-4, sir-2.1, fbf-1, mir-243, nuo-6, and lin-35; microarray studies indicate that dhs-1 is affected by Atrazine, Chlorpyrifos, Diazinon, Paraquat, and Sirolimus; tiling array and RNA sequencing studies indicate that dhs-1 is enriched in the hypodermis and germ line."
F48C1.1,WBGene00018594,Trafficking,Trafficking: ER/Golgi,Trafficking: ER/Golgi: mannosidase,"aman-3 encodes a Co(II)-activated alpha-mannosidase II, orthologous to human MAN2C1; AMAN-3 is predicted to remove mannose residues from the N-linked oligosaccharides of glycoproteins; AMAN-3 contains three predicted N-glycosylation sites; AMAN-3 is biochemically active in vitro, with a pH optimum of 6.5; AMAN-3 requires either Co(II) or Mn(II) for activity, preferring the former ion; since aman-2(tm1078) mutants almost completely lack paucimannosidic glycans, the function of AMAN-3 in vivo is unclear."
F55A12.3,WBGene00004087,Signaling,Signaling: lipid,Signaling: lipid: kinase PI4,"ppk-1 encodes a putative phosphatidylinositol-4-phosphate 5' kinase that is essential for ovulation, intense gonad sheath contraction and dilation of the spermathecal valve during oocyte maturation, and UNC-54 filament organization; more generally, PPK-1 is required for fertility, progression through larval development, normal locomotion and defecation, and overall health; defects of ppk-1(RNAi) animals in sterility, ovulation, and UNC-54 filaments are suppressed by the gain-of-function itr-1(sy290) allele, presumably through increased IP(3) signalling; PPK-1 is expressed in gonad sheath, spermatheca, uterine and vulva muscles, distal tip cells, intestine, head mesodermal cell, and many neurons (e.g., in the ventral nerve cord, near the nerve ring, and in tail); PPK-1 may be activated by VAV-1 and binds bovine calmodulin in vitro in a calcium-dependent manner; PPK-1 is orthologous to five human proteins (e.g., PIP5K1B, OMIM:602745), and distantly paralogous to PPK-2."
F55A12.4,WBGene00000966,Metabolism,Metabolism: lipid,Metabolism: lipid: sterol,dhs-2 encodes a short-chain dehydrogenase predicted to be mitochondrial.
C24A11.9,WBGene00000761,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: ubiquinone ,"coq-1 encodes a putative hexaprenyl pyrophosphate synthetase, orthologous to S. cerevisiae COQ1; COQ-1 is required for ubiquinone (coenzyme Q9) biosynthesis and for normally short lifespan; coq-1 mutants have slowed pharyngeal pumping, and eventually arrest as paralysed larvae before dying; coq-1(RNAi) animals have reduced levels of coenzyme Q9 and superoxide, and have abnormally long lifespans; coq-1 mutants are not rescued by dietary coenzyme Q."
F27C1.7,WBGene00000230,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: complex V,"atp-3 encodes the C. elegans homolog of the ATP5O subunit of mitochondrial ATP synthase (complex V); as part of the ATP synthase complex, ATP-3 controls respiration and regulates growth rate and body size, aging, and rates of behaviors such as pharyngeal pumping, defecation, and locomotion; loss of atp-3 function during larval development indicates that respiratory rates established during development persist into adulthood."
M01E11.1,WBGene00019710,Protein modification,Protein modification: methyltransferase,Protein modification: methyltransferase,"M01E11.1 is an ortholog of human ICMT (isoprenylcysteine carboxyl methyltransferase); RNA sequencing and microarray studies indicate that M01E11.1 is affected by tatn-1, clk-1, daf-2, mir-34, pgl-1, pgl-3, glh-4, glh-1, emb-4, sir-2.1, ain-2, dpy-9, dpy-10, fbf-1, mir-243, gld-2, and rnp-8; RNA sequencing and microarray studies indicate that M01E11.1 is affected by Rotenone, Hydrolyzable Tannins, Paraquat, and Allantoin; RNA sequencing and microarray studies indicate that M01E11.1 is enriched in the EMS, Psub1, germ line, and intestine and in neurons including the GABAergic neurons."
F46F11.1,WBGene00018508,Signaling,Signaling: lipid,Signaling: lipid: kinase inositol,"F46F11.1 is an ortholog of human PPIP5K2 (diphosphoinositol pentakisphosphate kinase 2) and PPIP5K1 (diphosphoinositol pentakisphosphate kinase 1); F46F11.1 is predicted to have inositol heptakisphosphate kinase activity, based on protein domain information."
F46F11.5,WBGene00006919,Lysosome,Lysosome: Vacoular ATPase,Lysosome: Vacoular ATPase,"vha-10 encodes an ortholog of subunit G of the cytoplasmic (V1) domain of vacuolar proton-translocating ATPase (V-ATPase); VHA-10 is required for necrosis, since vha-10(RNAi) suppresses necrotic neurodegeneration and thapsigargin-induced cell death; VHA-10 is a predicted cytosolic stator (stalk) component."
T19B4.1,WBGene00020556,Metabolism,Metabolism: other,Metabolism: other,"pamn-1 is an ortholog of human PAM (peptidylglycine alpha-amidating monooxygenase); pamn-1 is predicted to have oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen, based on protein domain information; pamn-1 is expressed in the nervous system and the intestine."
T19B4.3,WBGene00020557,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,"T19B4.3 is an ortholog of human Aprt (adenine phosphoribosyltransferase); T19B4.3 is predicted to have adenine phosphoribosyltransferase activity, based on protein domain information."
C32F10.8,WBGene00016333,Metabolism,Metabolism: amino acid,Metabolism: amino acid: synthesis,"C32F10.8 is an ortholog of human GPT2 (glutamic--pyruvic transaminase 2) and GPT (glutamic--pyruvic transaminase); C32F10.8 is predicted to have catalytic activity and pyridoxal phosphate binding activity, based on protein domain information; C32F10.8 is expressed in the pharynx, nervous system, reproductive system, intestine, and the body wall musculature."
C34G6.2,WBGene00016419,Neuronal function,Neuronal function: synaptic function,Neuronal function: synaptic function: neurotransmitter metabolism,"tyr-4 is an ortholog of human DCT (dopachrome tautomerase), TYRP1 (tyrosinase related protein 1) and TYR (tyrosinase); tyr-4 is predicted to have oxidoreductase activity, based on protein domain information."
C34G6.4,WBGene00003996,Transmembrane transport,Transmembrane transport: ABC,Transmembrane transport: ABC,"pgp-2 encodes a member of the ABC transporter family with highest similarity to the vertebrate MDR (multidrug resistance) family and that is orthologous to human MDR1 (ABCB1; OMIM:171050, mutated in Crohn disease); during development, pgp-2 activity is required, in parallel with that of the AP-3 adaptor complex, for the proper formation of gut granules, lysosome-related organelles found in the C. elegans intestine; pgp-2 is expressed in the intestine, from the E2 stage of embryonic development through adulthood; PGP-2 localizes to the gut granule membrane."
B0025.1,WBGene00006932,Signaling,Signaling: lipid,Signaling: lipid: kinase PI3,"vps-34 encodes an ortholog of the phosphoinositide 3-kinase VPS34 in S. cerevisiae, a protein that regulates multiple steps in endocytosis, and that is required for growth at normal rates during development; in C. elegans, vps-34 is required for vesicular trafficking, including endocytosis, apoptotic cell clearance, and autophagy."
C27A12.9,WBGene00016159,ECM,ECM,ECM,"C27A12.9 is an ortholog of human PIGO (phosphatidylinositol glycan anchor biosynthesis class O); C27A12.9 is predicted to have catalytic activity, based on protein domain information."
T27A3.6,WBGene00020842,Metabolism,Metabolism: molybdenum cofactor,Metabolism: molybdenum cofactor,"T27A3.6 is orthologous to the human gene Molybdenum cofactor synthesis gene 2 (MOCS2), which encodes molybdenum cofactor synthesis protein 2A and molybdenum cofactor synthesis protein 2B, which dimerize to form molybdopterin synthase."
T09B4.1,WBGene00020375,Metabolism,Metabolism: amino sugar,Metabolism: amino sugar,"pigv-1 is an ortholog of human PIGV (phosphatidylinositol glycan anchor biosynthesis class V); pigv-1 is predicted to have dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase activity, based on protein domain information; pigv-1 is expressed in the pharynx, hypodermis, intestine, and the excretory cell."
T09B4.8,WBGene00020382,Metabolism,Metabolism: amino acid,Metabolism: amino acid: breakdown,"T09B4.8 is an ortholog of human AGXT2 (alanine--glyoxylate aminotransferase 2); T09B4.8 is predicted to have pyridoxal phosphate binding activity and transaminase activity, based on protein domain information; T09B4.8 is expressed in the hypodermis, nervous system, intestine, and the body wall musculature."
T05E7.1,WBGene00020258,Metabolism,Metabolism: lipid,Metabolism: lipid: beta oxidation,"T05E7.1 is an ortholog of human BAAT (bile acid-CoA:amino acid N-acyltransferase) and members of the ACOT (Acyl-CoA thioesterases) family including ACOT2; T05E7.1 is predicted to have thiolester hydrolase activity, based on protein domain information."
T08B2.7,WBGene00020347,Metabolism,Metabolism: lipid,Metabolism: lipid: beta oxidation,"ech-1.2 encodes one of two C. elegans enoyl-CoA hydratases/long-chain 3-hydroxyacyl-CoA dehydrogenases [EC:4.2.1.17 1.1.1.211] orthologous to human HADHA (hydroxyacyl-coenzyme A dehydrogenase/3-ketoacyl-coenzyme A thiolase/enoyl-coenzyme a hydratase (trifunctional protein), alpha subunit OMIM:600890), which when mutated leads to disease."
T08B2.9,WBGene00001497,Non-translated RNA,Non-translated RNA: tRNA,Non-translated RNA: tRNA: production,frs-1 encodes a predicted phenylalanyl-t-RNA synthetase.
C48E7.2,WBGene00016750,Transcription: general machinery,Transcription: general machinery: RNA Pol III,Transcription: general machinery: RNA Pol III,"let-611 is an ortholog of human POLR3C (RNA polymerase III subunit C); let-611 is predicted to have DNA binding activity and DNA-directed 5'-3' RNA polymerase activity, based on protein domain information."
C10G11.5,WBGene00004068,Metabolism,Metabolism: lipid,Metabolism: lipid: CoA,"pnk-1 is an ortholog of human PANK4 (pantothenate kinase 4), PANK1 (pantothenate kinase 1), PANK2 (pantothenate kinase 2) and PANK3 (pantothenate kinase 3); pnk-1 is predicted to have ATP binding activity and pantothenate kinase activity, based on protein domain information."
K04F10.4,WBGene00000254,Proteolysis general,Proteolysis general: serine,Proteolysis general: serine,"bli-4 encodes a variety of related subtilases (serine endoproteases of the KEX2/subtilisin class), with shared N-termini but varying C-termini, that are collectively required both for larval viability and for stable adhesion of the adult cuticle."
ZC308.1,WBGene00001596,mRNA functions,mRNA functions: processing,mRNA functions: processing: polyadenylation,"gld-2 encodes the catalytic subunit of a cytoplasmic poly(A) polymerase (PAP) associated with P granules in early embryos, which encodes the central catalytic domain but lacks the normal RNA-binding (RRM) domain of eukaryotic PAPs; GLD-2 regulates the switch from mitosis to meiosis in the germline, is necessary for formation of functional sperm or oocytes, requires activation by GLD-3 for PAP activity in vitro, and contains a glutamine/asparagine-rich domain perhaps involved in epigenetic gene control."
K06A5.6,WBGene00019433,Metabolism,Metabolism: other,Metabolism: other,"acdh-3 is an ortholog of human ACADSB (acyl-CoA dehydrogenase, short/branched chain); acdh-3 is predicted to have flavin adenine dinucleotide binding activity and oxidoreductase activity, acting on the CH-CH group of donors, based on protein domain information; acdh-3 is expressed in the pharynx, nervous system, and the intestine."
C55B7.2,WBGene00001627,Protein modification,Protein modification: carbohydrate,Protein modification: carbohydrate,"gly-2 encodes a functional homolog of mammalian UDP-N-acetylglucosamine alpha-6-d-mannoside beta-1,6-N-acetylglucosaminyltransferase V (GlcNAc-TV) which regulates polylactosamine-containing N-glycans; gly-2 is functionally interchangeable with the mammalian gene; GLY-2 is expressed in late embryos and in a subset of neurons in larvae, spermathecal and pharyngeal-intestinal valves and in specific vulval cells of adults; GLY-2 binds bovine calmodulin in vitro in a calcium-dependent manner."
C55B7.4,WBGene00016943,Metabolism,Metabolism: lipid,Metabolism: lipid: beta oxidation,"acdh-1 encodes a short-chain acyl-CoA dehydrogenase; ACDH-1 is predicted to be a mitochondrial enzyme that catalyzes the first step of fatty acid beta-oxidation and thus plays a key role in energy production; steady-state acdh-1 mRNA levels are under the control of the MDT-15 mediator complex subunit; in addition, gene expression studies indicate that acdh-1 expression is upregulated in daf-2 mutant animals, but downregulated in fasted animals; loss of acdh-1 activity via RNAi can shorten lifespan."
T10E9.7,WBGene00020417,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: complex I,nuo-2 encodes the C. elegans ortholog of the NDUFS3 subunit of mitochondrial complex I.
T10E9.9,WBGene00020419,Metabolism,Metabolism: other,Metabolism: other,"acdh-4 is an ortholog of human ACADSB (acyl-CoA dehydrogenase, short/branched chain); acdh-4 is predicted to have flavin adenine dinucleotide binding activity and oxidoreductase activity, acting on the CH-CH group of donors, based on protein domain information."
F57B10.3,WBGene00019001,Metabolism,Metabolism: glycolysis,Metabolism: glycolysis,"ipgm-1 encodes an experimentally confirmed cofactor-independent phosphoglycerate mutase that is essential for embryonic and larval viability, and for normal body morphology; paradoxically, ipgm-1 is also required for normally short lifespan (in mass RNAi screens for Age phenotypes); IPGM-1 exhibits phosphoglycerate mutase activity when expressed in vitro; ipgm-1 is expressed widely in larvae and adults, with highest expression in the nerve ring, intestine and body wall muscles; IPGM-1 probably functions in glycolytic and gluconeogenic metabolism."
F57B10.7,WBGene00006607,Metabolism,Metabolism: carbohydrate,Metabolism: carbohydrate,"tre-1 is an ortholog of human Treh (trehalase); tre-1 is predicted to have alpha,alpha-trehalase activity, based on protein domain information."
W02D3.2,WBGene00020932,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,"dhod-1 is an ortholog of human DHODH (dihydroorotate dehydrogenase (quinone)); dhod-1 is predicted to have dihydroorotate dehydrogenase activity, based on protein domain information."
W02D3.3,WBGene00003170,Neuronal function,Neuronal function: other,Neuronal function: other,"mec-6 is homologous to the human PARAOXONASE 1 gene (PON1, OMIM:168820), which in some allelic forms is associated with susceptibility to coronary artery disease; MEC-6 protein interacts physically with the MEC-4 degenerin ion channel, is colocalized with it in vivo, and is required for MEC-4 punctate expression along touch-receptor neural processes."
W02D3.5,WBGene00002258,Metabolism,Metabolism: lipid,Metabolism: lipid: binding,"lbp-6 is an ortholog of members of the human FABP (Fatty acid binding protein) family including FABP12; lbp-6 is predicted to have lipid binding activity, based on protein domain information."
W02D3.7,WBGene00002257,Metabolism,Metabolism: lipid,Metabolism: lipid: binding,"lbp-5 encodes a predicted intracellular fatty acid binding protein (iFABP) that is most similar to the vertebrate muscle and heart FABPs; by homology, LBP-5 is predicted to function as an intracellular transporter for small hydrophobic molecules such as lipids and steroid hormones; loss of lbp-5 activity via large-scale RNAi screens indicates that, in C. elegans, LBP-5 is required for movement."
C37A2.3,WBGene00016491,Metabolism,Metabolism: other,Metabolism: other,"acdh-5 is an ortholog of human ACADL (acyl-CoA dehydrogenase, long chain); acdh-5 is predicted to have flavin adenine dinucleotide binding activity and oxidoreductase activity, acting on the CH-CH group of donors, based on protein domain information."
K02F2.2,WBGene00019322,Metabolism,Metabolism: 1CC,Metabolism: 1CC: methionine,"ahcy-1 encodes the C. elegans S-adenosylhomocysteine hydrolase (SAHH) ortholog; by homology, AHCY-1 is predicted to catalyze the hydrolysis of S-adenosyl-L-homocysteine to adenosine and L-homocysteine; loss of ahcy-1 activity via RNAi results in embryonic and larval lethality, abnormal body morphology, sick animals, and uncoordinated locomotion; Northern blot analyses indicate the ahcy-1 mRNA is expressed in very high abundance."
